{'ip': '112.65.115.224', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.241.83', 'other': 'NOERROR', 'type': '4'}
{'ip': '112.64.94.36', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.185.252', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '112.64.49.91', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.92.252', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.136.205', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '210.13.93.174', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '210.13.75.244', 'other': 'REFUSED', 'type': '4'}
{'ip': '210.13.77.88', 'other': 'REFUSED', 'type': '4'}
{'ip': '210.13.121.203', 'other': 'NXDOMAIN', 'type': '3'}
