{'ip': '223.167.245.216', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.250.217', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.19.239', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.253.170', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '223.166.72.236', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.209.236', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.190.155', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.19.252', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.190.167', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.255.122', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.157.245', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.216.179', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.74.191', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.224.152', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.254.100', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.249.234', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.194.145', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.199.117', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.73.52', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.75.246', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.47.160', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.164.157', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.206.211', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.236.227', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.186.230', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.224.212', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.167.164.135', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.74.173', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.90.135', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.153.88', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.165.77', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.98.141', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.167.99.35', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.91.203', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.72.21', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.248.8', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.251.4', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.193.101', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.253.80', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.190.27', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.167.67.82', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.167.193.25', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.197.106', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.164.142', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.191.128', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.255.52', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.238.136', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.15.138', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.248.186', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.162.65', 'other': 'NOERROR', 'type': '4'}
{'ip': '223.166.192.170', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.188.165', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.114.10', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.189.115', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.236.71', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.34.22', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.193.172', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.187.143', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.252.202', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.253.165', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.164.236', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.167.237.84', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.15.203', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.34.185', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.248.36', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.224.189', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.165.130', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.74.71', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.151.49', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.102.87', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.9.2', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '58.246.210.14', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.215.34', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.42.70', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.149.126', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.153.189', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.25.74', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.236.85', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.24.81', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.235.67', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.1.50', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.211.9', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.177.226', 'other': 'NOERROR', 'type': '1'}
{'ip': '58.247.210.96', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '58.246.62.214', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.92.214', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.1.218', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.244.201', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.136.22', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.124.205', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.31.117', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '58.246.230.202', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.225.86', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.26.31', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.19.229', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '58.247.151.166', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '58.246.77.46', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.115.94', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.112.105', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '58.247.248.10', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.173.250', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.213.110', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.170.100', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.56.246', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.73.168', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.100.68', 'other': 'NXDOMAIN', 'type': '3'}
