{'ip': '112.65.66.125', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.170.194', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.29.157', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.195.190', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.182.86', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.158.54', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.202.170', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.113.35', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.53.252', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.130.194', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.158.112', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.65.143.78', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.103.216', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.7.48', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.29.222', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.126.186', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.181.58', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.48.34', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.143.187', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '112.65.241.56', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.185.74', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.48.104', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.53.179', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.239.227', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.65.45.99', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.65.228.228', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.69.237', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.149.110', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.165.114', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.146.250', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.154.182', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.143.102', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.65.178.146', 'other': 'NOERROR', 'type': '4'}
{'ip': '112.65.51.156', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '210.13.78.70', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '210.13.126.103', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '210.13.124.188', 'other': 'NOERROR', 'type': '3'}
