{'ip': '101.83.201.137', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.149.219', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.180.223', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.63.84', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.157.37', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.189.42', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.227.80', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.135.34', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.41.241', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.42.183', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.114.149', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.202.137', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.54.101', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.163.239', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.133.22', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.81.55.123', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.137.22', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.49.196', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.81.17.135', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '101.89.145.65', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.78.228', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.64.83', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.173.129', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.59.209', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.150.61', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.240.195', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.154.9', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.29.163', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.224.145', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.219.243', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.59.1', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.204.226', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.155.119', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.173.22', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.34.118', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.170.16', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.138.112', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.188.247', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.155.147', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.245.193', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.164.134', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.202.97', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.66.60', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.81.24.145', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '101.82.130.2', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.236.57', 'other': 'REFUSED', 'type': '3'}
{'ip': '101.84.189.178', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.208.59', 'other': 'NXDOMAIN', 'type': '3'}
