{'ip': '114.240.5.57', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.228', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.215', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.103', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.50', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.92', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.156', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.12.70', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.62', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.64', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.226', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.24', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.104', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.85', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.24', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.170', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.5.115', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.11.123', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.98', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.12.27', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.154', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.11.207', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.112', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.182', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.152', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.5.59', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.11.210', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.102', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.56', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.5.171', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.59', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.188', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.78', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.186', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.6.35', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.227', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.114', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.223', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.120', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.33', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.5.173', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.6.7', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.167', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.71', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.197', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.166', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.226', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.95', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.185', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.247', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.125', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.5.29', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.168', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.88', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.169', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.156', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.5.131', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.96', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.24', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.12.52', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.6.45', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.236', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.202', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.12.2', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.253', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.11', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.200', 'other': 'SERVFAIL', 'type': '3'}
