{'ip': '220.249.120.195', 'other': 'NOERROR', 'type': '1'}
{'ip': '220.248.180.139', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.187.34', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.82.62', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.250.36.140', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.1.77', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.86.130', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.53.27', 'other': 'NOERROR', 'type': '3'}
{'ip': '220.248.66.12', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.116.20', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.250.27.163', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.195.150', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '220.248.103.132', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.231.116', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.250.38.126', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.116.146', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '220.248.29.210', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.188.130', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.177.155', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.117.107', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.50.150', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.215.109', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.158.66', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.4.122', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.149.135', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.82.243', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.249.189.82', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.234.99', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.108.11', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.248.19.66', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.250.18.76', 'other': 'REFUSED', 'type': '3'}
{'ip': '220.249.119.152', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.250.51.215', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.32.165', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.157.69', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.109.68', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.84.28', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.250.63.200', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.150.150', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.48.111', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.244.42', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.250.150', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.250.50.133', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '220.249.248.233', 'other': 'NOERROR', 'type': '3'}
{'ip': '220.248.244.146', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.109.44', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '220.248.40.52', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.249.96.202', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.233.7', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.249.119.200', 'other': 'NOERROR', 'type': '3'}
{'ip': '220.248.17.182', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.238.83', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.175.108', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.76.44', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.249.100.62', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.67.27', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.249.251.11', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.67.215', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.158.99', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.187.111', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.98.230', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.158.92', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.53.26', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.43.197', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.15.107', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.113.206', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.22.45', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.180.153', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.124.139', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.89.211', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.173.209', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.33.10', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.79.74', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.250.42.17', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.181.143', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.185.247', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.107.68', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.255.170', 'other': 'NOERROR', 'type': '4'}
{'ip': '220.250.13.178', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.83.118', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.55.130', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.40.105', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.77.56', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.249.158.56', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.101.130', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.176.174', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.114.118', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.115.210', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.158.210', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.67.147', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '220.250.4.117', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '220.250.31.205', 'other': 'NOERROR', 'type': '3'}
{'ip': '220.248.33.122', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.248.102.154', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.106.78', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.81.254', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.5.210', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.35.78', 'other': 'NOERROR', 'type': '3'}
{'ip': '220.248.46.178', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.78.18', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.250.40.109', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '220.249.1.106', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.113.166', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.67.252', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.185.144', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.64.45', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.250.14.45', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.31.225', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.25.226', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.22.202', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.62.104', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.34.12', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.55.3', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '220.248.33.123', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.249.180.30', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.237.2', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.76.138', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.192.11', 'other': 'NOERROR', 'type': '1'}
{'ip': '220.250.0.254', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.249.157.137', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.226.250', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.154.24', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.82.244', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.250.39.185', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.122.142', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.213.31', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.98.116', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.118.50', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.250.27.230', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.159.21', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.42.85', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.33.113', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.249.154.191', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.244.230', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.104.203', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.36.87', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.215.20', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.249.82.186', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.172.253', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.172.253', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.157.71', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.171.36', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.192.13', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.121.222', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.12.62', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.233.98', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.107.115', 'other': 'NOERROR', 'type': '1'}
{'ip': '220.248.41.238', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.64.17', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.6.230', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.94.238', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.15.230', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.107.74', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.41.42', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.244.194', 'other': 'NXDOMAIN', 'type': '4'}
{'ip': '220.248.231.68', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.250.37.194', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.209.207', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.249.74.158', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.249.7.206', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.103.85', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.250.40.165', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.46.230', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.40.116', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.38.149', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.149.211', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.11.197', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.49.154', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.83.26', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.250.15.113', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.23.2', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.37.65', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.22.187', 'other': 'NOERROR', 'type': '2'}
{'ip': '220.248.209.204', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.250.33.223', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.233.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.249.173.34', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.116.226', 'other': 'NXDOMAIN', 'type': '4'}
{'ip': '220.249.72.88', 'other': 'NOERROR', 'type': '4'}
{'ip': '220.250.58.44', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.93.40', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.249.119.154', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.178.78', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.82.46', 'other': 'NOERROR', 'type': '3'}
{'ip': '220.248.213.170', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.109.67', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.75.250', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.39.3', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.22.186', 'other': 'NOERROR', 'type': '2'}
{'ip': '220.248.42.255', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '220.249.146.32', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.35.184', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.76.45', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.118.27', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.24.213', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.215.85', 'other': 'NOERROR', 'type': '4'}
{'ip': '220.250.52.84', 'other': 'NOERROR', 'type': '1'}
{'ip': '220.248.126.22', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.43.118', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.33.125', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.248.231.142', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.250.14.228', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.52.155', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.49.136', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.10.170', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.107.170', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.27.139', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.181.185', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.1.2', 'other': 'NXDOMAIN', 'type': '4'}
{'ip': '220.248.184.6', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.37.114', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.249.1.18', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.12.130', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.158.207', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.230.67', 'other': 'NOERROR', 'type': '1'}
{'ip': '220.248.158.44', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.245.210', 'other': 'NOERROR', 'type': '3'}
{'ip': '220.249.96.154', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.248.209.210', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.249.98.98', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.170.54', 'other': 'NOERROR', 'type': '4'}
{'ip': '220.249.190.13', 'other': 'NXDOMAIN', 'type': '3'}
