{'ip': '101.95.27.170', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.70.220', 'other': 'REFUSED', 'type': '3'}
{'ip': '101.84.70.220', 'other': 'REFUSED', 'type': '3'}
{'ip': '101.84.249.205', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.225.211', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.143.79', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.23.45', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.20.150', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.130.52', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.88.99', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.20.250', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.102.41', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.96.214', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.0.220', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.64.230', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.220.91', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.65.54', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.98.174', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.193.182', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.180.108', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.245.197', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.31.84', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.94.35', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.99.121', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.95.191', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.82.56', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.147.62', 'other': 'NOERROR', 'type': '4'}
{'ip': '101.84.182.55', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.97.220', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.161.38', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.172.61', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.169.224', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.120.228', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.135.8', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.241.148', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.28.242', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.97.10', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.116.154', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.186.146', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.168.101', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.150.107', 'other': 'NXDOMAIN', 'type': '3'}
