{'ip': '101.91.95.193', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.227.248', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.163.15', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.228.54', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.217.174', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.130.2', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.131.109', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.114.42', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.99.238', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.233.184', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.189.48', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.200.93', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.229.167', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.64.79', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.151.8', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.58.85', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.241.23', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.156.154', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.202.194', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.165.19', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.69.195', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.66.219', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.195.16', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.181.231', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.3.115', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.219.73', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.229.95', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.58.223', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.151.242', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.232.7', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.231.146', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.203.131', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.176.82', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.212.148', 'other': 'REFUSED', 'type': '3'}
{'ip': '101.83.39.63', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.155.138', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.81.55.84', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.155.50', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.186.171', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.227.167', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.138.129', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.193.203', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.37.118', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.81.116.233', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.170.124', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.9.42', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.79.32', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.37.33', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.69.155', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.68.225', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.141.160', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.167.194', 'other': 'NOERROR', 'type': '4'}
{'ip': '101.89.179.251', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.114.134', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.178.57', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.73.96', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.81.115.99', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.59.147', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.168.186', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.138.130', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.141.120', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.94.252.135', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.251.126', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.94.253.11', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.131.246', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.148.135', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.180.228', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.109.116', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.246.150', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.128.110', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '101.89.80.96', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.36.226', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.224.13', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.128.12', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.71.189', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.195.125', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.23.218', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '101.85.229.225', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.67.182', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.229.124', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.72.132', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.159.50', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.78.160', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.59.6', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.20.18', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.219.164', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.186.105', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.81.116.83', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.0.82', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.126.205', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.203.63', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.188.49', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.81.117.203', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.139.74', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.184.218', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.81.119.245', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.152.90', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.2.126', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.157.226', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.177.159', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.145.232', 'other': 'NXDOMAIN', 'type': '3'}
